0,-55,-45
1,-54,-44
2,-53,-47
3,-56,-43
4,-58,-44
5,-47,-37
6,-53,-40
7,-56,-41
8,-54,-41
9,-62,-41
10,-58,-41
11,-57,-42
12,-56,-43
13,-57,-43
14,-64,-44
15,-67,-44
16,-61,-44
17,-63,-44
18,-62,-43
19,-57,-42
20,-57,-41
21,-54,-42
22,-55,-43
23,-55,-42
24,-55,-42
25,-54,-41
26,-53,-41
27,-52,-41
28,-52,-42
29,-50,-41
30,-48,-42
31,-48,-42
32,-48,-41
33,-48,-42
34,-47,-41
35,-46,-41
36,-47,-42
37,-46,-41
38,-46,-41
39,-46,-43
40,-46,-41
41,-46,-41
42,-45,-40
43,-45,-42
44,-44,-41
45,-44,-40
46,-44,-40
47,-45,-41
48,-44,-40
49,-44,-40
50,-43,-40
51,-44,-41
52,-43,-40
53,-43,-41
54,-44,-43
55,-42,-41
56,-42,-41
57,-42,-42
58,-41,-41
59,-41,-42
60,-42,-43
61,-41,-42
62,-41,-42
63,-41,-42
64,-40,-42
65,-40,-42
66,-39,-43
67,-39,-44
68,-39,-44
69,-39,-44
70,-40,-45
71,-40,-45
72,-40,-45
73,-40,-46
74,-40,-46
75,-40,-46
76,-39,-47
77,-39,-49
78,-39,-49
79,-39,-50
80,-38,-50
81,-38,-52
82,-39,-51
83,-39,-52
84,-39,-51
85,-38,-51
86,-38,-51
87,-39,-49
88,-38,-49
89,-38,-48
90,-38,-48
91,-38,-48
92,-38,-47
93,-39,-47
94,-40,-47
95,-40,-45
96,-38,-45
97,-39,-44
98,-39,-43
99,-39,-43
100,-39,-43
101,-39,-43
102,-39,-42
103,-39,-43
104,-39,-42
105,-39,-42
106,-39,-42
107,-40,-41
108,-40,-41
109,-40,-40
110,-40,-40
111,-40,-40
112,-40,-40
113,-40,-40
114,-40,-40
115,-40,-40
116,-41,-40
117,-41,-40
118,-42,-40
119,-42,-40
120,-42,-40
121,-42,-40
122,-43,-40
123,-43,-40
124,-43,-40
125,-43,-40
126,-43,-39
127,-44,-39
128,-44,-39
129,-44,-39
130,-44,-39
131,-45,-39
132,-45,-39
133,-46,-39
134,-47,-39
135,-47,-39
136,-48,-39
137,-49,-39
138,-49,-39
139,-50,-39
140,-50,-39
141,-50,-39
142,-50,-39
143,-52,-39
144,-54,-39
145,-52,-39
146,-53,-39
147,-51,-39
148,-54,-39
149,-54,-40
150,-53,-40
151,-58,-40
152,-56,-40
153,-55,-40
154,-54,-41
155,-56,-41
156,-55,-41
157,-55,-42
158,-55,-42
159,-59,-42
160,-57,-42
161,-57,-43
162,-60,-44
163,-58,-44
164,-58,-44
165,-59,-45
166,-59,-45
167,-58,-45
168,-59,-46
169,-60,-46
170,-59,-48
171,-63,-47
172,-58,-47
173,-58,-49
174,-58,-48
175,-55,-48
176,-54,-49
177,-54,-49
178,-57,-51
179,-55,-50
