0,-44,-42
0,-41,-40
0,-40,-41
0,-42,-42
1,-42,-44
2,-42,-43
3,-42,-43
4,-42,-44
5,-43,-48
6,-41,-45
7,-43,-48
9,-42,-49
10,-42,-52
11,-42,-54
11,-41,-55
12,-41,-56
13,-40,-59
14,-39,-58
15,-40,-51
17,-40,-49
18,-40,-48
19,-40,-49
21,-40,-51
22,-40,-51
22,-40,-52
23,-41,-52
24,-41,-52
26,-41,-51
27,-40,-52
27,-40,-50
29,-40,-49
30,-41,-48
31,-41,-48
32,-41,-47
33,-40,-47
34,-40,-45
35,-40,-47
36,-40,-48
37,-40,-45
38,-40,-45
39,-40,-43
41,-40,-44
42,-40,-44
42,-40,-43
43,-40,-44
44,-40,-44
45,-40,-43
46,-39,-41
48,-40,-41
49,-40,-41
