0,-44,-65
0,-44,-59
0,-42,-57
1,-44,-59
1,-44,-65
2,-44,-60
3,-42,-59
4,-43,-61
5,-43,-58
6,-45,-57
8,-45,-55
9,-44,-56
10,-45,-54
11,-45,-54
11,-46,-52
12,-47,-52
13,-47,-53
14,-47,-52
16,-47,-53
18,-47,-51
18,-47,-52
19,-47,-52
20,-47,-53
21,-48,-51
23,-47,-49
23,-47,-49
25,-48,-48
26,-48,-51
27,-48,-51
28,-48,-51
29,-48,-51
30,-48,-50
31,-48,-50
32,-48,-49
33,-49,-48
34,-49,-49
35,-49,-50
36,-49,-51
37,-49,-51
39,-50,-51
40,-50,-51
41,-50,-50
41,-50,-50
42,-50,-50
43,-51,-50
44,-51,-50
45,-51,-50
47,-51,-51
47,-52,-51
49,-52,-52
